sid,name,outcome,endpoint_time,endpoint_type,observation_time,hours_to_endpoint,center_lat,center_lon,segment_count,s3_key,local_path,s3_keys_json,local_paths_json,pair_id,valid_pixel_fraction,mean_bt_k,min_bt_k,cold_cloud_fraction,very_cold_fraction,radial_concentration,azimuthal_symmetry,largest_patch_fraction,patch_count,patch_density_per_10k_px,cold_centroid_offset_km,mean_cold_radius_km,vorticity_850_mean_s1__300km,rh_600_850_mean_pct__300km,shear_200_850_ms__300km,vorticity_850_mean_s1__500km,rh_600_850_mean_pct__500km,shear_200_850_ms__500km
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-16 12:00:00+00:00,-24,17.2,123.8,1,AHI-L1b-FLDK/2019/07/16/1200/HS_H08_20190716_1200_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2019/07/16/1200/HS_H08_20190716_1200_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2019/07/16/1200/HS_H08_20190716_1200_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2019/07/16/1200/HS_H08_20190716_1200_B13_FLDK_R20_S0101.DAT.bz2""]",1,1.0,242.62506103515625,184.69923400878903,0.3698901201929122,0.1167611703276634,0.0922087877988815,0.2121559715703486,0.6909141940820652,83,3.4653940737586164,149.7245278093993,396.7922668457031,8.523985120376434e-05,85.87530726786218,13.078441196965306,5.5248657807898915e-05,85.48853175083813,14.219821023497108
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-17 09:00:00+00:00,-3,19.7,123.9,1,AHI-L1b-FLDK/2019/07/17/0900/HS_H08_20190717_0900_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2019/07/17/0900/HS_H08_20190717_0900_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2019/07/17/0900/HS_H08_20190717_0900_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2019/07/17/0900/HS_H08_20190717_0900_B13_FLDK_R20_S0101.DAT.bz2""]",1,1.0,241.8378753662109,184.1884613037109,0.4733956012129885,0.1895639896392822,0.0787355750799179,0.3554575893026193,0.4986253072292633,27,1.154265438300237,97.80766028870129,403.5540771484375,7.584280076787522e-05,82.31008937279825,11.821131063512386,4.828465112595679e-05,82.04749324835934,10.930744362593805
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-19 00:00:00+00:00,-72,12.6,135.1,1,AHI-L1b-FLDK/2019/08/19/0000/HS_H08_20190819_0000_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/19/0000/HS_H08_20190819_0000_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2019/08/19/0000/HS_H08_20190819_0000_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/19/0000/HS_H08_20190819_0000_B13_FLDK_R20_S0101.DAT.bz2""]",2,1.0,262.4368896484375,197.4740295410156,0.1779490812214952,0.0168342608958482,0.0046883854083716,0.5951377328707377,0.137014225387929,122,4.580989643959477,86.81477032189402,452.9645690917969,4.453142140746562e-05,83.40188495368614,17.818892679005042,2.9382509644991323e-05,85.12690252631558,15.770428604076047
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-20 00:00:00+00:00,-48,13.5,133.8,1,AHI-L1b-FLDK/2019/08/20/0000/HS_H08_20190820_0000_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/20/0000/HS_H08_20190820_0000_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2019/08/20/0000/HS_H08_20190820_0000_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/20/0000/HS_H08_20190820_0000_B13_FLDK_R20_S0101.DAT.bz2""]",2,1.0,254.60519409179688,190.44415283203125,0.3158659451060229,0.1041817739605903,0.0973676294088363,0.2997127864452404,0.4959526688717476,61,2.31528925933517,131.9147217496057,403.2803955078125,5.45188918538068e-05,87.02640984936941,11.583072569436677,3.395883368238033e-05,84.82032736828613,11.664354995032584
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-21 00:00:00+00:00,-24,14.6,132.4,1,AHI-L1b-FLDK/2019/08/21/0000/HS_H08_20190821_0000_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/21/0000/HS_H08_20190821_0000_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2019/08/21/0000/HS_H08_20190821_0000_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/21/0000/HS_H08_20190821_0000_B13_FLDK_R20_S0101.DAT.bz2""]",2,1.0,246.7330017089844,185.20233154296875,0.4468974878990502,0.1536872237920761,0.1741277277469635,0.3511294201909122,0.8873309212740105,86,3.3105317252874578,150.72563081736678,357.4512634277344,8.33741763499084e-05,88.29557033368773,3.8668671973065822,4.974700077705792e-05,87.17501709599905,5.945681349350984
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-21 21:00:00+00:00,-3,15.7,129.6,1,AHI-L1b-FLDK/2019/08/21/2100/HS_H08_20190821_2100_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/21/2100/HS_H08_20190821_2100_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2019/08/21/2100/HS_H08_20190821_2100_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/21/2100/HS_H08_20190821_2100_B13_FLDK_R20_S0101.DAT.bz2""]",2,1.0,235.76470947265625,181.32264709472656,0.5095620194621453,0.284940093755722,0.1660684049129486,0.4244074164697951,0.7788629615460854,74,2.916911385020477,148.1626350719933,373.5504760742188,0.00010090215553617998,84.65477384700854,5.071157460470792,5.825379665320874e-05,82.05972949824975,6.104130574659393
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-25 00:00:00+00:00,-72,11.1,137.7,1,AHI-L1b-FLDK/2019/08/25/0000/HS_H08_20190825_0000_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/25/0000/HS_H08_20190825_0000_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2019/08/25/0000/HS_H08_20190825_0000_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/25/0000/HS_H08_20190825_0000_B13_FLDK_R20_S0101.DAT.bz2""]",3,1.0,241.3209381103516,185.368392944336,0.4714455243536963,0.1546242386102676,0.1846700757741928,0.4106142613186853,0.8320258144248702,84,3.105429325604265,157.672018906871,375.8918151855469,4.854671815707792e-05,90.14507510669819,4.160710752988515,4.143651135710647e-05,87.61366752098284,6.652091648674569
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-26 00:00:00+00:00,-48,12.9,132.5,1,AHI-L1b-FLDK/2019/08/26/0000/HS_H08_20190826_0000_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/26/0000/HS_H08_20190826_0000_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2019/08/26/0000/HS_H08_20190826_0000_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/26/0000/HS_H08_20190826_0000_B13_FLDK_R20_S0101.DAT.bz2""]",3,1.0,254.49082946777344,190.1564483642578,0.304086733356498,0.0981905534863472,0.2312627881765365,0.399778864247437,0.2853137572604652,91,3.4577489674249646,196.0869981358956,364.8888854980469,7.887372257470102e-05,87.43341639931566,8.694973644782749,5.006435833584878e-05,85.00165473326469,10.755566657808947
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-27 00:00:00+00:00,-24,14.6,126.5,1,AHI-L1b-FLDK/2019/08/27/0000/HS_H08_20190827_0000_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/27/0000/HS_H08_20190827_0000_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2019/08/27/0000/HS_H08_20190827_0000_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/27/0000/HS_H08_20190827_0000_B13_FLDK_R20_S0101.DAT.bz2""]",3,1.0,250.3890380859375,185.86170959472656,0.3730374086131907,0.1550271809101104,0.1612512320280075,0.0932132918428761,0.923840033996194,66,2.634183722341071,240.80425948818413,361.7632751464844,8.186848050139334e-05,87.42289342921121,8.807672546159818,5.7852465770734814e-05,84.47370457873515,10.881131168918907
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-27 21:00:00+00:00,-3,16.5,119.2,1,AHI-L1b-FLDK/2019/08/27/2100/HS_H08_20190827_2100_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/27/2100/HS_H08_20190827_2100_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2019/08/27/2100/HS_H08_20190827_2100_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2019/08/27/2100/HS_H08_20190827_2100_B13_FLDK_R20_S0101.DAT.bz2""]",3,1.0,241.8582000732422,179.78866577148438,0.4745206498634975,0.2306818515062332,0.1840208917856216,0.4611042876040973,0.8089909699144001,44,1.9169858012347127,157.0738891930247,361.4020385742188,9.411378083059994e-05,89.05601168207761,7.0611456209702474,5.130209117557041e-05,85.68569479993778,9.810994714610423
