sid,observation_time,variable,bucket,object_key,object_size_bytes,object_etag,access_date
2018234N22119,2018-08-24T21:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_131_u.ll025uv.2018082400_2018082423.nc,1554382904,cafcf1a0dbe3ce977604086c9714777d-4,2026-08-02
2018234N22119,2018-08-24T21:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_132_v.ll025uv.2018082400_2018082423.nc,1683733355,847ecf4c7b9b2ed8a8b8b2bcf1d9694b-4,2026-08-02
2019195N13136,2019-07-14T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_157_r.ll025sc.2019071400_2019071423.nc,1379729940,aa3f02d65cd4f7972dfce5d7fb247b90-165,2026-08-02
2019195N13136,2019-07-14T12:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_131_u.ll025uv.2019071400_2019071423.nc,1551438298,e2a568e4fc499d73c07dd98776fd5def-185,2026-08-02
2019195N13136,2019-07-14T12:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_132_v.ll025uv.2019071400_2019071423.nc,1703882555,9c7e7ee017cc4214b727e412413c970f-204,2026-08-02
2019195N13136,2019-07-15T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_157_r.ll025sc.2019071500_2019071523.nc,1383286202,1a690d97ca525678c0391d422c7141d4-165,2026-08-02
2019195N13136,2019-07-15T12:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_131_u.ll025uv.2019071500_2019071523.nc,1548575032,04e570034ebbc1ac8ab06eb7110e5644-185,2026-08-02
2019195N13136,2019-07-15T12:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_132_v.ll025uv.2019071500_2019071523.nc,1716857090,ddf8726e9ea0010d155051a1e68d7914-205,2026-08-02
2019195N13136,2019-07-16T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_157_r.ll025sc.2019071600_2019071623.nc,1386896348,7106b4970e72d18fecfac23385c0d7c2-166,2026-08-02
2019195N13136,2019-07-16T12:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_131_u.ll025uv.2019071600_2019071623.nc,1544901447,c292f833925edb52a067bb8d52c46afc-185,2026-08-02
2019195N13136,2019-07-16T12:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_132_v.ll025uv.2019071600_2019071623.nc,1699206581,8c1fbba463156a76ce8bc96f6bb6c0c8-203,2026-08-02
2019195N13136,2019-07-17T09:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_157_r.ll025sc.2019071700_2019071723.nc,1391702555,d675d4a9b6f18b7dfd6bbb9ade6be33c-166,2026-08-02
2019195N13136,2019-07-17T09:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_131_u.ll025uv.2019071700_2019071723.nc,1547468010,103a8d78c62ff510ad87da2597b341f4-185,2026-08-02
2019195N13136,2019-07-17T09:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_132_v.ll025uv.2019071700_2019071723.nc,1691050835,42feb8490fdfd4e9caf0c42aa102a130-202,2026-08-02
2019231N13135,2019-08-19T00:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_157_r.ll025sc.2019081900_2019081923.nc,1396616121,7f8c1c5b691ed8a2bd57c961e3161e27-167,2026-08-02
2019231N13135,2019-08-19T00:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_131_u.ll025uv.2019081900_2019081923.nc,1559644139,f5312f511b76ba249268c7407b6b8a61-186,2026-08-02
2019231N13135,2019-08-19T00:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_132_v.ll025uv.2019081900_2019081923.nc,1688752939,de41308548a43c4f67de3c0646f6a645-202,2026-08-02
2019231N13135,2019-08-20T00:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_157_r.ll025sc.2019082000_2019082023.nc,1394115481,6a0728335f1ae76330f2c6331fa59681-167,2026-08-02
2019231N13135,2019-08-20T00:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_131_u.ll025uv.2019082000_2019082023.nc,1557741465,1ab5dafc2efca65107900404cfd1745f-186,2026-08-02
2019231N13135,2019-08-20T00:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_132_v.ll025uv.2019082000_2019082023.nc,1688285983,f6efba4fc2351a49f82c8e8637114673-202,2026-08-02
2019231N13135,2019-08-21T00:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_157_r.ll025sc.2019082100_2019082123.nc,1394739790,f39ee0c0461e5dd977f86b2309ac7576-167,2026-08-02
2019231N13135,2019-08-21T00:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_131_u.ll025uv.2019082100_2019082123.nc,1568187403,38afb4f67207a961f73cdf00efa4fa1d-187,2026-08-02
