sid,name,outcome,pair_id,endpoint_time,endpoint_type,median_lat,median_lon,n_frames,valid_pixel_fraction_min,endpoint_day_sin,endpoint_day_cos,cold_cloud_fraction__early_median,cold_cloud_fraction__late_median,cold_cloud_fraction__late_minus_early,cold_cloud_fraction__slope_per_day,very_cold_fraction__early_median,very_cold_fraction__late_median,very_cold_fraction__late_minus_early,very_cold_fraction__slope_per_day,radial_concentration__early_median,radial_concentration__late_median,radial_concentration__late_minus_early,radial_concentration__slope_per_day,azimuthal_symmetry__early_median,azimuthal_symmetry__late_median,azimuthal_symmetry__late_minus_early,azimuthal_symmetry__slope_per_day,largest_patch_fraction__early_median,largest_patch_fraction__late_median,largest_patch_fraction__late_minus_early,largest_patch_fraction__slope_per_day,patch_density_per_10k_px__early_median,patch_density_per_10k_px__late_median,patch_density_per_10k_px__late_minus_early,patch_density_per_10k_px__slope_per_day,cold_centroid_offset_km__early_median,cold_centroid_offset_km__late_median,cold_centroid_offset_km__late_minus_early,cold_centroid_offset_km__slope_per_day,mean_cold_radius_km__early_median,mean_cold_radius_km__late_median,mean_cold_radius_km__late_minus_early,mean_cold_radius_km__slope_per_day,mean_bt_k__early_median,mean_bt_k__late_median,mean_bt_k__late_minus_early,mean_bt_k__slope_per_day,min_bt_k__early_median,min_bt_k__late_median,min_bt_k__late_minus_early,min_bt_k__slope_per_day
2019195N13136,DANAS,1,1,2019-07-17 12:00:00+00:00,first_US_TS_or_34kt,16.9,126.7,24,1.0,-0.2614143985111562,-0.965226663665613,0.4276659587214103,0.3902903622027375,-0.03737559651867278,0.005875537412949099,0.1431747823953628,0.15455815196037292,0.011383369565010126,0.015313676258792113,0.1828081458806991,0.0565272960811853,-0.12628084979951382,-0.06527831973588981,0.6216467145645221,0.32787706976180764,-0.2937696448027145,-0.12588549427332202,0.843921488705431,0.5807317192559206,-0.26318976944951045,-0.09545861119234834,2.9230421463703613,2.542184615030781,-0.3808575313395801,-0.28899301082286416,67.4423586201434,114.8334066221569,47.391048002013505,15.64643817945224,345.1687927246094,421.8426971435547,76.67390441894531,35.78656494140631,243.3666534423828,244.31311035156247,0.9464569091796591,-0.25026584791100237,186.66848754882807,182.507194519043,-4.161293029785071,-2.126361296280521
2021185N13121,UNNAMED,0,1,2021-07-06 18:00:00+00:00,72h_after_first_track,15.149999999999999,114.25,24,1.0,-0.07518957641475855,-0.9971692572470178,0.352782002467197,0.31894397068800784,-0.03383803177918915,-0.023356334517856545,0.1133773699402809,0.06693654879927635,-0.04644082114100455,-0.026714773430772432,0.2087298929691314,0.0839100927114486,-0.12481980025768279,-0.05295056514118029,0.2611198599182996,0.31408104402457393,0.05296118410627432,0.04464830717958959,0.8208535024191578,0.573799073274075,-0.2470544291450828,-0.08628517639312805,2.583817799170678,3.1431222337698133,0.5593044345991354,0.1737973124006996,192.39877986201327,154.70260617355478,-37.69617368845849,-26.077090694700853,351.0134582519531,392.06666564941406,41.05320739746094,19.46246730638589,252.12808227539065,250.88874053955078,-1.2393417358398722,-0.6650567361582378,186.3480529785156,189.42658233642578,3.0785293579101847,1.255517153532592
2019231N13135,BAILU,1,2,2019-08-22 00:00:00+00:00,first_US_TS_or_34kt,14.0,133.4,24,1.0,-0.7731383255706026,-0.6342374393978054,0.2083248655325308,0.4742822490467219,0.26595738351419107,0.11615076552191266,0.0268550142645835,0.16261199861764905,0.13575698435306555,0.06650109198430314,0.076312817633152,0.16351474821567535,0.08720193058252336,0.05327983850856195,0.3475724429821145,0.4263335692256674,0.07876112624355291,0.035197951487976255,0.3519229344669388,0.9043737398424165,0.5524508053754777,0.22582928756454385,3.2924863191516742,2.5159051901999527,-0.7765811289517215,-0.585048232040161,114.10344957793777,119.70998264933179,5.606533071394026,5.628133142628314,419.7557678222656,371.1445007324219,-48.61126708984375,-25.705465247112794,258.6470947265625,241.9113540649414,-16.735740661621094,-7.797827201511481,190.7296295166016,184.26087951660156,-6.468750000000028,-3.989053689707831
2022208N15143,SONGDA,0,2,2022-07-29 12:00:00+00:00,72h_after_first_track,19.25,140.4,24,1.0,-0.45370308603134424,-0.8911529104063088,0.4679494112423531,0.26479999265699994,-0.20314941858535318,-0.10432997734989523,0.1838939189910888,0.03453345410525795,-0.14936046488583085,-0.06672415263626887,0.1767131239175796,0.23887466639280314,0.06216154247522354,0.04237077412397965,0.3954609870354847,0.4083824332650901,0.012921446229605393,-0.025219129713385805,0.869445299596109,0.4585436509833592,-0.41090164861274975,-0.15673027790973562,2.820315417978368,2.8967598172148015,0.07644439923643365,0.2751900515229066,79.53833866736234,102.01951215412302,22.48117348676068,10.31690858834766,359.2370300292969,336.2237243652344,-23.0133056640625,-16.263177118716005,242.08102416992188,260.78431701660156,18.703292846679688,8.23929581351906,184.1884613037109,195.8333282470703,11.644866943359403,4.861500934103308
2019236N08143,PODUL,1,3,2019-08-28 00:00:00+00:00,first_US_TS_or_34kt,13.45,129.9,24,1.0,-0.8343701235229537,-0.5512045872199277,0.3777978085425401,0.38653288020696697,0.008735071664426886,-0.012598517313674286,0.0981905534863472,0.14662174135446543,0.04843118786811823,0.02614057271376903,0.1754345446825027,0.16067471355199808,-0.014759831130504608,0.005366824295209805,0.4106142613186853,0.12854014707160397,-0.2820741142470813,-0.10316966710839405,0.5704075755547383,0.9269098105018245,0.3565022349470862,0.08465839714535228,2.3613989977173144,1.5964069713857667,-0.7649920263315477,-0.6033433232433638,148.2904270353905,232.84642847977483,84.55600144438432,36.43024030974168,371.9225769042969,368.6117401123047,-3.3108367919921875,-4.088767089843681,241.3209381103516,251.62974548339844,10.308807373046847,3.1068899138077817,187.92127990722656,185.19577026367188,-2.7255096435546875,-1.9651457413382865
2018234N22119,UNNAMED,0,3,2018-08-25 00:00:00+00:00,72h_after_first_track,23.700000000000003,120.25,24,1.0,-0.8048257371083452,-0.593511190196115,0.247825478143518,0.2186541213557655,-0.029171356787752484,-0.020764504989235318,0.0308384224772453,0.0381129123270511,0.007274489849805801,0.0012812658366949704,0.1444395035505294,0.11345637962222095,-0.030983123928308445,-0.000513756897138478,0.0,0.0,0.0,0.020968055465687772,0.7552759737656017,0.7840562662559696,0.028780292490367843,-0.04908191733134415,1.7071775280069392,2.100114092486338,0.39293656447939895,0.2427307309386563,279.1274621725628,223.40821462535035,-55.71924754721243,-30.565152657456096,366.6238403320313,360.0322570800781,-6.591583251953182,-6.306693062160286,261.57244873046875,261.58616638183594,0.0137176513671875,-0.1836254882811743,190.5871734619141,190.08350372314453,-0.5036697387695597,-0.1333172342051507
2019243N06136,LINGLING,1,4,2019-09-02 06:00:00+00:00,first_US_TS_or_34kt,8.95,131.15,24,1.0,-0.8786374941610001,-0.4774894280028391,0.3434149387895739,0.325369056105243,-0.018045882684330883,0.007380470896395046,0.0693510174751281,0.07388580590486525,0.004534788429737147,0.006321287958518335,0.1918004155158996,0.2260370180010795,0.0342366024851799,0.011320347112158064,0.4506868630939158,0.5151813898286279,0.06449452673471212,0.013447116557248258,0.8112865661476724,0.7387227781517556,-0.07256378799591678,0.0363862169279914,2.795669654845153,2.9856005922639675,0.1899309374188145,0.13970559106309233,135.27722915472378,110.4242691350822,-24.852960019641586,-8.880688051276874,330.4059753417969,323.68663024902344,-6.7193450927734375,-0.17939092221465316,249.18560791015625,249.86790466308594,0.6822967529296875,0.6007110861073427,189.573974609375,191.50318908691403,1.929214477539034,0.3796890922215396
2017247N16132,GUCHOL,0,4,2017-09-06 12:00:00+00:00,72h_after_first_track,17.25,124.9,24,1.0,-0.9093882203647925,-0.4159483918249421,0.4452022827015945,0.15268611978829189,-0.2925161629133026,-0.11771697840599799,0.1702651083469391,0.07211178168654435,-0.09815332666039474,-0.04880608479289905,0.1465234458446502,0.1551466286182403,0.008623182773590088,-0.029207923821699972,0.3676142595702076,0.0,-0.3676142595702076,-0.1518753951441339,0.8327689567764718,0.9600030616014219,0.12723410482495012,0.026117670099092827,2.525414488663695,0.7554790343739057,-1.7699354542897892,-0.5935409919022769,187.7855154066259,335.00188894555686,147.21637353893095,72.0086144042315,364.49505615234375,358.8887023925781,-5.606353759765625,14.67155209748647,245.18756103515625,272.8969421386719,27.709381103515625,13.107729757557777,183.66978454589844,184.1884613037109,0.5186767578124716,1.186782014266343
2019268N10155,MITAG,1,5,2019-09-27 12:00:00+00:00,first_US_TS_or_34kt,11.6,147.75,24,1.0,-0.9977068927101168,-0.06768276175455162,0.3274460741379984,0.36625773838294595,0.03881166424494753,0.034338203483539456,0.1199229881167411,0.12417683005332941,0.004253841936588315,0.0025352841745252316,0.2460309416055679,0.20656089484691614,-0.03947004675865176,-0.011711886149385673,0.3794084807054581,0.3656933002233903,-0.013715180482067768,0.004809133657020665,0.8622163826418731,0.9365895166371494,0.07437313399527634,0.00026740799318968175,1.632752250729992,1.7180891573808812,0.08533690665088911,-0.02327967224669991,135.280799122241,140.88187237275437,5.601073250513366,-0.40725680596257213,300.86688232421875,346.20362854003906,45.33674621582031,20.212909094769078,255.5145874023437,248.17161560058594,-7.342971801757756,-3.6887895932404815,186.3480529785156,185.61586761474604,-0.7321853637695597,-0.19884760317591788
2020293N23139,UNNAMED,0,5,2020-10-22 06:00:00+00:00,72h_after_first_track,24.700000000000003,139.35000000000002,24,1.0,-0.9288394302558068,0.3704825404820963,0.183311497135418,0.020084982845199897,-0.16322651429021812,-0.07740852085221514,0.0423552356660366,8.158511263900436e-05,-0.042273650553397595,-0.01956976434992373,0.2271851152181625,0.4753388464450836,0.2481537312269211,0.08024839139502986,0.2323991567498198,0.0,-0.2323991567498198,-0.12079673260004005,0.5948490415346801,0.4809932568602969,-0.11385578467438318,-0.04153738833426119,2.540036297938064,0.8381563395501702,-1.7018799583878939,-0.691029036924729,121.34788421495584,103.67018156687507,-17.677702648080768,21.474184312843374,331.91461181640625,287.0899200439453,-44.82469177246094,1.0518465523097913,260.5504150390625,280.61973571777344,20.069320678710938,10.31207880434784,189.72048950195312,207.91670989990237,18.196220397949247,8.488035570227606
