sid,name,outcome,endpoint_time,endpoint_type,observation_time,hours_to_endpoint,center_lat,center_lon,pair_id
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-16T21:00:00+00:00,-15,17.7,123.3,1
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-17T00:00:00+00:00,-12,18.1,123.5,1
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-17T03:00:00+00:00,-9,18.5,123.6,1
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-17T06:00:00+00:00,-6,19.0,123.7,1
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-17T09:00:00+00:00,-3,19.7,123.9,1
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-26T12:00:00+00:00,-72,14.9,143.3,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-26T15:00:00+00:00,-69,14.9,143.2,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-26T18:00:00+00:00,-66,15.2,142.9,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-26T21:00:00+00:00,-63,15.4,142.6,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-27T00:00:00+00:00,-60,15.6,142.3,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-27T03:00:00+00:00,-57,16.0,142.0,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-27T06:00:00+00:00,-54,16.5,141.6,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-27T09:00:00+00:00,-51,17.0,141.3,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-27T12:00:00+00:00,-48,17.5,141.0,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-27T15:00:00+00:00,-45,18.0,140.8,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-27T18:00:00+00:00,-42,18.5,140.7,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-27T21:00:00+00:00,-39,19.0,140.5,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-28T00:00:00+00:00,-36,19.5,140.3,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-28T03:00:00+00:00,-33,20.0,140.1,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-28T06:00:00+00:00,-30,20.7,139.9,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-28T09:00:00+00:00,-27,21.5,139.6,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-28T12:00:00+00:00,-24,22.5,139.1,2
