Feature_Group,AUC_mean,AUC_std,AUPRC_mean,AUPRC_std,F1_mean,F1_std,ACC_mean,ACC_std,Precision_mean,Precision_std,Recall_mean,Recall_std
image_only,0.8459626,0.03199311668624988,0.8034392,0.04595671375000609,0.7321814,0.040568131067378485,0.7672931999999999,0.029816867025225825,0.6777908,0.044201490752009735,0.7966802000000001,0.04089123436874953
classic_patch_only,0.8673401999999999,0.030446406671395577,0.8358202,0.03413220043741686,0.7494716,0.04190786804765904,0.7863450000000001,0.03776630683559086,0.7140912,0.09024811585955682,0.796812,0.0497048219894207
dynamic_patch_only,0.5384954,0.01731814270642209,0.44300259999999997,0.01568934107284306,0.5720252,0.021889036769579453,0.4008488,0.02150586945928949,0.4008488,0.02150586945928949,1.0,0.0
classic_dynamic_patch,0.8677692,0.02772576691815758,0.8353826,0.031535737747831395,0.7502162,0.03645340869795306,0.7868588,0.028438908816971163,0.7089278,0.05107344254306733,0.8029562,0.07475111957154885
full,0.8688535999999999,0.026774125005310647,0.8361651999999999,0.03341664845103411,0.7514826,0.03642481869275402,0.7912176,0.03329887583387762,0.7254465999999999,0.08395381778275478,0.7874618,0.0525309291103822
