Result_Type,Horizon,Feature_Mode,AUC_mean,AUC_std,AUC_count,AUPRC_mean,AUPRC_std,AUPRC_count,ACC_mean,ACC_std,ACC_count,F1_mean,F1_std,F1_count,Precision_mean,Precision_std,Precision_count,Recall_mean,Recall_std,Recall_count,Best_Threshold_mean,Best_Threshold_std,Best_Threshold_count,Positive_Rate_mean,Positive_Rate_std,Positive_Rate_count,LeadTime_Mean_mean,LeadTime_Mean_std,LeadTime_Mean_count,LeadTime_Median_mean,LeadTime_Median_std,LeadTime_Median_count,LeadTime_Q25_mean,LeadTime_Q25_std,LeadTime_Q25_count,LeadTime_Q75_mean,LeadTime_Q75_std,LeadTime_Q75_count
deep_model,15.0,full,0.863004,,1,0.692018,,1,0.864178,,1,0.664047,,1,0.707113,,1,0.625926,,1,0.38,,1,0.214456,,1,,,0,,,0,,,0,,,0
deep_model,30.0,full,0.8634982857142858,0.02731890179414426,7,0.8334404285714285,0.029723040315873604,7,0.776518,0.03672040434599448,7,0.7445217142857142,0.035889118600277194,7,0.6887062857142857,0.05427446940847442,7,0.8132118571428572,0.03752828108430836,7,0.35285714285714287,0.06499084184567487,7,0.39992885714285714,0.022189828919489007,7,,,0,,,0,,,0,,,0
deep_model,30.0,img_only,0.847601,0.03086452861781624,6,0.8029055,0.038023704315860614,6,0.7705845,0.0253905543755941,6,0.7278020000000001,0.038174605438694435,6,0.6842723333333334,0.03305864828855931,6,0.7779863333333333,0.05221014198665492,6,0.3833333333333333,0.0625033332444492,6,0.3964221666666667,0.02208104238858907,6,,,0,,,0,,,0,,,0
deep_model,30.0,patch_only,0.868272,0.027266118300924336,6,0.8342728333333334,0.030610501226975475,6,0.7901301666666667,0.033752478181115333,6,0.7492716666666667,0.03744446204002229,6,0.7169120000000001,0.07823752495573973,6,0.7909608333333334,0.04532451624194866,6,0.4166666666666667,0.07312090444371341,6,0.3964221666666667,0.02208104238858907,6,,,0,,,0,,,0,,,0
deep_model,45.0,full,0.762783,,1,0.837273,,1,0.715647,,1,0.800668,,1,0.693346,,1,0.947299,,1,0.31,,1,0.602859,,1,,,0,,,0,,,0,,,0
deep_model,60.0,full,0.74434,,1,0.903732,,1,0.76251,,1,0.861382,,1,0.76587,,1,0.98411,,1,0.47,,1,0.749801,,1,,,0,,,0,,,0,,,0
deep_model,,unknown,0.773425,,1,0.707332,,1,0.723733,,1,0.655359,,1,0.581395,,1,0.750883,,1,0.27,,1,0.349815,,1,,,0,,,0,,,0,,,0
