Seed,Feature_Index,Feature,Mean_Risk,Mean_NonRisk,Difference,Abs_Difference,Cohen_D,Abs_Cohen_D,Single_Feature_AUC
42,0,patch_count,0.4144118768805653,0.26877138320879707,0.14564049367176823,0.14564049367176823,0.5889962558513471,0.5889962558513471,0.6613990102834583
42,1,total_patch_area,0.0008693484102577105,7.029640035678348e-05,0.000799052009900927,0.000799052009900927,0.3077150079026993,0.3077150079026993,0.7948254730938568
42,2,largest_patch_area,4.225965250965251,1.6207525213343674,2.6052127296308836,2.6052127296308836,1.005410169033556,1.005410169033556,0.7768567468293169
42,3,mean_patch_area,0.011778648091127358,0.0030604587044685003,0.008718189386658859,0.008718189386658859,0.7951816581895411,0.7951816581895411,0.7920374056411821
42,4,largest_patch_ratio,0.47334580406185983,0.15265224521426604,0.32069355884759376,0.32069355884759376,0.88622625517554,0.88622625517554,0.7661512452411408
42,5,patch_area_std,0.23557673116210462,0.0794699184775903,0.15610681268451432,0.15610681268451432,0.9640505635871689,0.9640505635871689,0.7673137679683453
42,6,patch_area_cv,0.7805317377019211,0.3641643835129064,0.41636735418901466,0.41636735418901466,1.0431570304486986,1.0431570304486986,0.7670590630786104
42,7,gini,0.03560311768743478,0.010567317255803357,0.025035800431631422,0.025035800431631422,0.8529963382006602,0.8529963382006602,0.7883820377846062
42,8,edge_density,0.0007328995527665051,0.00011297690029651709,0.0006199226524699879,0.0006199226524699879,0.5710718536654443,0.5710718536654443,0.7768951648447103
42,9,aggregation_index,0.0698142841252844,0.013913759360302317,0.055900524764982085,0.055900524764982085,0.7361242531908448,0.7361242531908448,0.7931177635596205
42,10,centroid_x,0.00778402520489603,0.0011571911569158223,0.006626834047980207,0.006626834047980207,0.6630310501440755,0.6630310501440755,0.7966547282427533
42,11,centroid_y,0.26136951683045734,0.1258279328627181,0.13554158396773924,0.13554158396773924,1.0965140593913962,1.0965140593913962,0.7840993651145486
42,12,spread_x,0.00449916774627445,0.0011776837280857658,0.0033214840181886845,0.0033214840181886845,0.5164795984564939,0.5164795984564939,0.6429695753922728
42,13,spread_y,0.027851153654247816,0.020956253731268987,0.006894899922978828,0.006894899922978828,0.39969005757633663,0.39969005757633663,0.6072260582886205
42,14,perimeter,0.8777457638375021,0.6364482399875596,0.24129752384994252,0.24129752384994252,0.6880318130460678,0.6880318130460678,0.7555325820072856
42,15,perimeter_area_ratio,9.701763499005139e-06,1.1657058057400727e-06,8.536057693265066e-06,8.536057693265066e-06,0.5080991322798113,0.5080991322798113,0.7798981217882914
42,16,compactness,0.5579713061038905,0.5044642272310677,0.0535070788728228,0.0535070788728228,0.31558977865856863,0.31558977865856863,0.5937765636573544
42,17,fragmentation,0.9338816851829536,0.9896373153368663,-0.055755630153912716,0.055755630153912716,-0.6204581854157178,0.6204581854157178,0.6196553694077384
42,18,nearest_patch_distance,0.0007968928536270224,0.000712361562941172,8.453129068585038e-05,8.453129068585038e-05,0.027924136169734937,0.027924136169734937,0.5758811565638564
42,19,patch_density,0.11232129557154998,0.08180112378989761,0.030520171781652367,0.030520171781652367,0.2505129152271305,0.2505129152271305,0.6417798605194704
123,0,patch_count,0.4059677571423568,0.2606044223167723,0.1453633348255845,0.1453633348255845,0.5938812191032171,0.5938812191032171,0.6644191581707158
123,1,total_patch_area,0.0007057065809587698,5.712195662655709e-05,0.0006485846243322127,0.0006485846243322127,0.26631579496123053,0.26631579496123053,0.8067885930419731
123,2,largest_patch_area,4.185800853876876,1.5641874376869391,2.621613416189937,2.621613416189937,1.0443180921550164,1.0443180921550164,0.7849374270797305
123,3,mean_patch_area,0.011244857602248606,0.002728510245038726,0.00851634735720988,0.00851634735720988,0.852100299474726,0.852100299474726,0.804063357373136
123,4,largest_patch_ratio,0.44011217582103285,0.1383816538790124,0.30173052194202044,0.30173052194202044,0.9170273389450909,0.9170273389450909,0.7727921386645736
123,5,patch_area_std,0.22211241756212247,0.07235152131178652,0.14976089625033595,0.14976089625033595,0.993267916008407,0.993267916008407,0.7733722740331547
123,6,patch_area_cv,0.7759802317064403,0.3494605846000336,0.42651964710640666,0.42651964710640666,1.0833658525906198,1.0833658525906198,0.776954256360515
123,7,gini,0.03563590000811059,0.009304581964927042,0.026331318043183546,0.026331318043183546,0.9268404441609546,0.9268404441609546,0.8045231266673742
123,8,edge_density,0.0006835827196604596,8.283319150273375e-05,0.0006007495281577258,0.0006007495281577258,0.5773679398334854,0.5773679398334854,0.786758997213016
123,9,aggregation_index,0.06472089289633831,0.012440186763926967,0.05228070613241134,0.05228070613241134,0.7648634762175777,0.7648634762175777,0.8038826778169829
123,10,centroid_x,0.006992282380376192,0.0009100477199836017,0.00608223466039259,0.00608223466039259,0.6796597008487304,0.6796597008487304,0.8072894729940463
123,11,centroid_y,0.25896244425893,0.12571936975960302,0.13324307449932699,0.13324307449932699,1.0889791456774256,1.0889791456774256,0.7826783593579543
123,12,spread_x,0.004398257954339098,0.0011233309313587,0.0032749270229803984,0.0032749270229803984,0.5077965160206004,0.5077965160206004,0.6445523915788787
123,13,spread_y,0.027447155435364967,0.021030883641046865,0.006416271794318102,0.006416271794318102,0.3727189974936486,0.3727189974936486,0.6063225830015806
123,14,perimeter,0.8715703125959453,0.6290261231018797,0.24254418949406564,0.24254418949406564,0.6861315495998915,0.6861315495998915,0.7623119897984053
123,15,perimeter_area_ratio,9.21958634216438e-06,7.871907031029192e-07,8.432395639061461e-06,8.432395639061461e-06,0.5024793790169149,0.5024793790169149,0.7891023184406291
123,16,compactness,0.562791926248263,0.4958841676574761,0.0669077585907869,0.0669077585907869,0.397584454786393,0.397584454786393,0.6183552839621886
123,17,fragmentation,0.9380870378923686,0.9915712858066483,-0.05348424791427975,0.05348424791427975,-0.6209128843335598,0.6209128843335598,0.6184937337828136
123,18,nearest_patch_distance,0.000910806069716796,0.0010131652375268117,-0.00010235916781001567,0.00010235916781001567,-0.028020471612192722,0.028020471612192722,0.5649275901808415
123,19,patch_density,0.11616225253377051,0.07893330888366808,0.03722894365010243,0.03722894365010243,0.3096497484925616,0.3096497484925616,0.6498649005469476
2026,0,patch_count,0.40798192611659045,0.2612687564162099,0.14671316970038056,0.14671316970038056,0.5766717971811198,0.5766717971811198,0.6661079545243046
2026,1,total_patch_area,0.0005866991187331689,4.4757634053885186e-05,0.0005419414846792837,0.0005419414846792837,0.4442606744219196,0.4442606744219196,0.819419727774167
2026,2,largest_patch_area,4.188553408480945,1.3708645399907537,2.8176888684901913,2.8176888684901913,1.0977025533586888,1.0977025533586888,0.7990592093296001
2026,3,mean_patch_area,0.011443056647308493,0.0025004133242847665,0.008942643323023726,0.008942643323023726,0.9718622090602624,0.9718622090602624,0.8159544555644643
2026,4,largest_patch_ratio,0.4623145778130683,0.12248303441893114,0.3398315433941371,0.3398315433941371,0.9934056367204369,0.9934056367204369,0.7890695302765562
2026,5,patch_area_std,0.22946219149556046,0.06363966868760626,0.1658225228079542,0.1658225228079542,1.0841303958676238,1.0841303958676238,0.7898620705571598
2026,6,patch_area_cv,0.7769027023803657,0.31868904775235035,0.4582136546280154,0.4582136546280154,1.1937262400116255,1.1937262400116255,0.7984724924057037
2026,7,gini,0.035958690126445265,0.008731370401102403,0.027227319725342862,0.027227319725342862,0.9512291521796148,0.9512291521796148,0.8143521465410681
