Method,Feature_Group,Alarm_Recall_mean,Alarm_Recall_std,Alarm_Precision_mean,Alarm_Precision_std,LeadTime_Mean_mean,LeadTime_Mean_std,LeadTime_Median_mean,LeadTime_Median_std,LeadTime_Std_mean,LeadTime_Std_std,LeadTime_Q25_mean,LeadTime_Q25_std,LeadTime_Q75_mean,LeadTime_Q75_std
Traditional EWS,traditional_ews_only,0.7771172573541026,0.03648654711601599,0.6748600332552606,0.06427027211241836,13.813392878063633,0.2963554621404338,13.4,0.5477225575051662,8.342479056618158,0.119483313154007,6.8,0.4472135954999579,20.4,0.5477225575051662
Image only,image_only,0.7966804347160865,0.04089124578203066,0.677791047625275,0.04420147001962609,13.89045329892546,0.2300377598030175,13.2,0.44721359549995804,8.314316314403705,0.09922879155725073,7.0,0.0,20.8,0.44721359549995787
Classic patch,classic_patch_only,0.7968120889127972,0.049704941100542875,0.7140911071588969,0.0902482087049714,14.094086261522062,0.2847075272388864,13.6,0.5477225575051662,8.346401403340648,0.07387104113834995,6.8,0.44721359549995787,21.0,0.0
Dynamic patch v1,dynamic_patch_only,1.0,0.0,0.400848647687028,0.021505889091690756,15.179721229699467,0.1320736886451007,15.0,0.0,8.618596652975864,0.024229146607823944,8.0,0.0,22.65,0.4873397172404478
Classic + dynamic patch,classic_dynamic_patch,0.8029562786157403,0.07475126211308884,0.7089277859074402,0.05107357034439098,14.14367866821018,0.20024616401366643,13.4,0.5477225575051662,8.38033343764299,0.07713673699923713,7.0,0.0,21.2,0.44721359549995815
Full,full,0.787461673022924,0.05253118732330175,0.7254466162867292,0.08395350374619537,14.020677841463563,0.2645455306534301,13.4,0.5477225575051662,8.348297733747684,0.042218144111177774,6.8,0.44721359549995787,21.0,0.0
