Result_Type,Model,Feature_Mode,AUC_mean,AUC_std,AUC_count,AUPRC_mean,AUPRC_std,AUPRC_count,ACC_mean,ACC_std,ACC_count,F1_mean,F1_std,F1_count,Precision_mean,Precision_std,Precision_count,Recall_mean,Recall_std,Recall_count,LeadTime_Mean_mean,LeadTime_Mean_std,LeadTime_Mean_count,LeadTime_Median_mean,LeadTime_Median_std,LeadTime_Median_count,LeadTime_Q25_mean,LeadTime_Q25_std,LeadTime_Q25_count,LeadTime_Q75_mean,LeadTime_Q75_std,LeadTime_Q75_count
baseline,ExtraTrees,stats,0.8528243550747643,0.0047850086835764805,3,0.8115760070334455,0.018996590337593454,3,0.7727151046988568,0.005980934295179881,3,0.7424388106344119,0.013560301627472229,3,0.6909501884935082,0.025645835821844046,3,0.8027068432145378,0.003689743910790276,3,14.002724485967237,0.05857021565812569,3,13.0,0.0,3,7.0,0.0,3,21.0,0.0,3
baseline,HistGradientBoosting,stats,0.8505951238479937,0.01652578423163154,3,0.8141889795173914,0.012821329210760115,3,0.7721403645120347,0.01019152817607813,3,0.7392433035790088,0.010154786120720724,3,0.6947065167167382,0.02604128268121099,3,0.7911417414615265,0.027583215638799518,3,14.003916833226036,0.09043685681021169,3,13.333333333333334,0.5773502691896258,3,7.0,0.0,3,21.0,0.0,3
baseline,LogisticRegression,stats,0.847746261465112,0.010937405201124397,3,0.8069487633674877,0.02320806327067692,3,0.7530431253408759,0.004277996099955675,3,0.7313186527230281,0.005347958073944524,3,0.6587324654287005,0.022916140030127923,3,0.8235303317858819,0.032703097312265034,3,14.201839445168005,0.17600300657458312,3,13.666666666666666,0.5773502691896258,3,7.0,0.0,3,21.0,0.0,3
baseline,MLP,stats,0.7999724432220322,0.028747868780521442,3,0.7631282932023745,0.018675378213963343,3,0.7505553474581125,0.017736377257603818,3,0.6971298799799519,0.008350280566073601,3,0.6939371801593847,0.02854427553141927,3,0.7029430206471776,0.04482876977965457,3,13.65776298985246,0.33096715347768035,3,12.833333333333334,0.28867513459481275,3,6.333333333333333,0.5773502691896257,3,20.333333333333332,0.5773502691896255,3
baseline,RandomForest,stats,0.8515128629757558,0.006508261358890491,3,0.809050443030957,0.01374194411685904,3,0.7708697779059251,0.014146548430902958,3,0.7379766478161089,0.01863763876295084,3,0.6932792536360597,0.04170302146586038,3,0.7904025234816121,0.012716516291156497,3,13.95207545160411,0.11500914087324682,3,13.0,0.0,3,7.0,0.0,3,21.0,0.0,3
deep_model,,full,0.8852623333333334,0.01977327085571164,3,0.8563986666666666,0.030286568843851152,3,0.8075519999999999,0.020012705739104818,3,0.7730486666666666,0.0358609386426699,3,0.7351516666666665,0.045195697498028875,3,0.8154203333333333,0.025073677160188088,3,14.230036,0.09505445599234207,3,13.666666666666666,0.5773502691896258,3,7.0,0.0,3,21.0,0.0,3
deep_model,,img_only,0.8693439999999999,0.01651459073062362,3,0.8300773333333332,0.03421951543101291,3,0.7878876666666667,0.01270497447196699,3,0.755386,0.03285911500634183,3,0.7040646666666667,0.028987250806748355,3,0.8156373333333334,0.05040305290687588,3,14.039850999999999,0.23478773727560742,3,13.666666666666666,0.5773502691896258,3,7.0,0.0,3,20.666666666666668,0.5773502691896255,3
deep_model,,patch_only,0.8864623333333334,0.017570817662628357,3,0.8534693333333333,0.03240535641423085,3,0.813015,0.02610675282374268,3,0.7754716666666667,0.03082223649142506,3,0.760462,0.09491959475787917,3,0.8004616666666666,0.06047414274161592,3,14.063236666666667,0.2856486317004389,3,13.666666666666666,0.5773502691896258,3,6.666666666666667,0.5773502691896257,3,21.0,0.0,3
