Seed,Feature_Group,Method,Threshold,Num_Samples,Num_True_Risk,Num_Predicted_Alarm,Num_Correct_Alarm,Num_False_Alarm,Num_Missed_Alarm,Alarm_Recall,Alarm_Precision,LeadTime_Mean,LeadTime_Median,LeadTime_Std,LeadTime_Q25,LeadTime_Q75,MissedLeadTime_Mean,Run_Dir
3407,dynamic_patch_only,Dynamic patch v1,0.05,3828,1549,3828,1549,2279,0,1.0,0.404649947753396,15.243382827630729,15.0,8.603122918429188,8.0,23.0,,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed3407_sims300_L64_steps200_h30_groupdynamic_patch_only_rw0.0_wd0.001
7777,dynamic_patch_only,Dynamic patch v1,0.05,3704,1432,3704,1432,2272,0,1.0,0.38660907127429806,15.102653631284916,15.0,8.61287572030654,8.0,22.25,,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed7777_sims300_L64_steps200_h30_groupdynamic_patch_only_rw0.0_wd0.001
42,classic_dynamic_patch,Classic + dynamic patch,0.48,3866,1447,1511,1091,420,356,0.7539737387698687,0.7220383851753805,13.94775435380385,13.0,8.29048432080705,7.0,21.0,18.25561797752809,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed42_sims300_L64_steps200_h30_groupclassic_dynamic_patch_rw0.0_wd0.001
123,classic_dynamic_patch,Classic + dynamic patch,0.41,3497,1505,1591,1240,351,265,0.8239202657807309,0.7793840351979887,14.253225806451614,14.0,8.443444625284966,7.0,21.0,19.58490566037736,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed123_sims300_L64_steps200_h30_groupclassic_dynamic_patch_rw0.0_wd0.001
2026,classic_dynamic_patch,Classic + dynamic patch,0.26,3747,1530,1971,1352,619,178,0.8836601307189542,0.6859462201927955,14.440088757396449,14.0,8.475119120554373,7.0,22.0,22.286516853932586,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed2026_sims300_L64_steps200_h30_groupclassic_dynamic_patch_rw0.0_wd0.001
3407,classic_dynamic_patch,Classic + dynamic patch,0.31,3828,1549,2063,1321,742,228,0.8528082633957392,0.6403296170625303,14.04542013626041,13.0,8.361223394962787,7.0,21.0,22.18421052631579,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed3407_sims300_L64_steps200_h30_groupclassic_dynamic_patch_rw0.0_wd0.001
7777,classic_dynamic_patch,Classic + dynamic patch,0.46,3704,1432,1399,1003,396,429,0.7004189944134078,0.7169406719085061,14.031904287138584,13.0,8.331395726605773,7.0,21.0,17.606060606060606,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed7777_sims300_L64_steps200_h30_groupclassic_dynamic_patch_rw0.0_wd0.001
42,full,Full,0.37,3866,1447,1710,1178,532,269,0.8140981340704907,0.6888888888888889,14.413412563667233,14.0,8.392337205663976,7.0,21.0,17.609665427509295,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed42_sims300_L64_steps200_h30_groupfull_rw0.0_wd0.001
123,full,Full,0.5,3497,1505,1282,1110,172,395,0.7375415282392026,0.8658346333853354,13.67027027027027,13.0,8.354268085115487,6.0,21.0,19.468354430379748,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed123_sims300_L64_steps200_h30_groupfull_rw0.0_wd0.001
2026,full,Full,0.31,3747,1530,1693,1249,444,281,0.8163398692810457,0.7377436503248671,14.01200960768615,13.0,8.369512163733438,7.0,21.0,21.31316725978648,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed2026_sims300_L64_steps200_h30_groupfull_rw0.0_wd0.001
3407,full,Full,0.32,3828,1549,1992,1307,685,242,0.8437701743060039,0.6561244979919679,13.970160673297627,13.0,8.34560875565678,7.0,21.0,22.119834710743802,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed3407_sims300_L64_steps200_h30_groupfull_rw0.0_wd0.001
7777,full,Full,0.44,3704,1432,1531,1039,492,393,0.7255586592178771,0.6786414108425866,14.037536092396536,14.0,8.279762458568737,7.0,21.0,17.918575063613233,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed7777_sims300_L64_steps200_h30_groupfull_rw0.0_wd0.001
