source,target,mode,calibrated,calibration_offset,n_intervals,n_blocks,brier,log_loss,calibration_bias,auc,subset,degradation
Hellegat,Paulina,baseline,False,0.0,365,10,0.17679906455042654,0.5526140345010468,0.2773584619021377,0.7151119960460602,,
Hellegat,Paulina,baseline,True,-1.115085895785706,365,10,0.09138583628413886,0.31454737827620993,0.06119533459032405,0.7151119960460602,,
Hellegat,Paulina,baseline,True,-1.115085895785706,365,10,0.09138583628413886,0.31454737827620993,0.06119533459032405,0.7151119960460602,supported,
Hellegat,Paulina,baseline,True,-1.115085895785706,365,10,0.09138583628413886,0.31454737827620993,0.06119533459032405,0.7151119960460602,,25_percent_history_mask
Hellegat,Paulina,quality,False,0.0,365,10,0.08505990983220219,0.31197350162733056,-0.04110280123902307,0.6988382288963522,,
Hellegat,Paulina,quality,True,1.1687932008315975,365,10,0.09101630845410597,0.3165022830642782,0.05922860743867511,0.6988382288963522,,
Hellegat,Paulina,quality,True,1.1687932008315975,365,10,0.09101630845410597,0.3165022830642782,0.05922860743867511,0.6988382288963522,supported,
Hellegat,Paulina,quality,True,1.1687932008315975,365,10,0.09484546836998556,0.32810858224392997,0.07818823442837677,0.6960201460927046,,25_percent_history_mask
Hellegat,Paulina,spatial,False,0.0,365,10,0.08896749695219833,0.36571917335598475,-0.06634468099568822,0.6061364692919022,,
Hellegat,Paulina,spatial,True,2.061253858113548,365,10,0.10151005329883608,0.3518588816172689,0.09255159462801033,0.6061364692919022,,
Hellegat,Paulina,spatial,True,2.061253858113548,365,10,0.10151005329883608,0.3518588816172689,0.09255159462801033,0.6061364692919022,supported,
Hellegat,Paulina,spatial,True,2.061253858113548,365,10,0.134165834406214,0.43385646195486294,0.18728750578209225,0.6381241380570076,,25_percent_history_mask
Hellegat,Paulina,qir,False,0.0,365,10,0.08607403655016432,0.32232749807743033,-0.053408224874473345,0.7151119960460602,,
Hellegat,Paulina,qir,True,1.4680287902190474,365,10,0.09138584251120131,0.3145473965530118,0.06119536728978338,0.7151119960460602,,
Hellegat,Paulina,qir,True,1.4680287902190474,365,10,0.09138584251120131,0.3145473965530118,0.06119536728978338,0.7151119960460602,supported,
Hellegat,Paulina,qir,True,1.4680287902190474,365,10,0.09138584251120131,0.3145473965530118,0.06119536728978338,0.7151119960460602,,25_percent_history_mask
Paulina,Hellegat,baseline,False,0.0,311,8,0.19890783884275776,0.6100485229144468,0.23846344760007876,0.47317635196753327,,
Paulina,Hellegat,baseline,True,-1.1371521094581316,311,8,0.11698780996620373,0.40395942127369655,0.029234633789327565,0.47317635196753327,,
Paulina,Hellegat,baseline,True,-1.1371521094581316,155,5,0.06282523130335818,0.25484022949216445,0.06463312559910019,0.4547248302342046,supported,
Paulina,Hellegat,baseline,True,-1.1371521094581316,156,6,0.12328781327094382,0.4180494196956679,0.02616252722173979,0.5146498204846921,unsupported,
Paulina,Hellegat,baseline,True,-1.1371521094581316,311,8,0.11698780996620373,0.40395942127369655,0.029234633789327565,0.47317635196753327,,25_percent_history_mask
Paulina,Hellegat,quality,False,0.0,311,8,0.10758614977649697,0.392322914123391,-0.03675077255856793,0.49031534566451773,,
Paulina,Hellegat,quality,True,0.6978477499526277,311,8,0.11467061066846257,0.3924002040194416,0.030982355948862294,0.49031534566451773,,
Paulina,Hellegat,quality,True,0.6978477499526277,155,5,0.06153940194297812,0.24934992360299674,0.06457596987092314,0.490970228002553,supported,
Paulina,Hellegat,quality,True,0.6978477499526277,156,6,0.12089539850208167,0.4065956988074927,0.029197997516258754,0.5074614051320702,unsupported,
Paulina,Hellegat,quality,True,0.6978477499526277,311,8,0.11748478537159318,0.3981283101686979,0.04647784435559142,0.4896827212484474,,25_percent_history_mask
Paulina,Hellegat,spatial,False,0.0,311,8,0.10160268871514902,0.3351386832560828,-0.030258968131110855,0.7664961528828106,,
Paulina,Hellegat,spatial,True,0.397948675464781,311,8,0.1039534865154571,0.33196796748401536,0.0040525907125198,0.7664961528828106,,
Paulina,Hellegat,spatial,True,0.397948675464781,155,5,0.06519951412115993,0.25720967925604665,0.04268679610840173,0.48453048002828575,supported,
Paulina,Hellegat,spatial,True,0.397948675464781,156,6,0.10640838941762833,0.32032545464889184,0.004663238090188326,0.8186906001942903,unsupported,
Paulina,Hellegat,spatial,True,0.397948675464781,311,8,0.1070872922041585,0.3436165215852073,0.021701149426313463,0.74229648147266,,25_percent_history_mask
Paulina,Hellegat,qir,False,0.0,311,8,0.10999609922184145,0.39642028107580085,-0.02135646854733706,0.48624563500067364,,
Paulina,Hellegat,qir,True,0.44772167791833545,311,8,0.11598819115407016,0.40054412236283304,0.023639449022161543,0.48624563500067364,,
Paulina,Hellegat,qir,True,0.44772167791833545,155,5,0.06234564522942242,0.2533262700622427,0.05999197493530078,0.4473706946663554,supported,
Paulina,Hellegat,qir,True,0.44772167791833545,156,6,0.12199680287623718,0.4131118292093099,0.020310369648930363,0.5271796704453541,unsupported,
Paulina,Hellegat,qir,True,0.44772167791833545,311,8,0.11566404931198213,0.4008978881237524,0.020918183623494235,0.4816950732745603,,25_percent_history_mask
