source,target,mode,calibrated,calibration_offset,n_intervals,n_blocks,brier,log_loss,calibration_bias,auc,subset,degradation
fixture_A,fixture_B,baseline,False,0.0,105,9,0.21826461597262173,0.626533264007177,0.19087895992277457,0.5489052995823124,,
fixture_A,fixture_B,baseline,True,-0.32563758189959574,105,9,0.18947717894008403,0.565336566662438,0.09808521125801657,0.5489052995823124,,
fixture_A,fixture_B,baseline,True,-0.32563758189959574,96,9,0.19116381697568396,0.5692430828857156,0.10327784801299121,0.5046913163486353,supported,
fixture_A,fixture_B,baseline,True,-0.32563758189959574,9,7,0.16447066948903533,0.5086127653259053,0.1316023765939939,0.7878787878787878,unsupported,
fixture_A,fixture_B,baseline,True,-0.32563758189959574,105,9,0.18947717894008403,0.565336566662438,0.09808521125801657,0.5489052995823124,,25_percent_history_mask
fixture_A,fixture_B,quality,False,0.0,105,9,0.17880811695450508,0.541826885135328,0.026521824587459424,0.5472648611459493,,
fixture_A,fixture_B,quality,True,0.302485218953355,105,9,0.18931475919861074,0.5650708828259605,0.09904800037774623,0.5472648611459493,,
fixture_A,fixture_B,quality,True,0.302485218953355,96,9,0.19096582411225138,0.568910990615678,0.10426882772625092,0.5033117448769857,supported,
fixture_A,fixture_B,quality,True,0.302485218953355,9,7,0.16443542266999228,0.5086772383172846,0.13246282668785125,0.7878787878787878,unsupported,
fixture_A,fixture_B,quality,True,0.302485218953355,105,9,0.19301884463264735,0.5731168787143416,0.11400411952591302,0.5425905784231395,,25_percent_history_mask
fixture_A,fixture_B,spatial,False,0.0,105,9,0.1789405876076382,0.5423684231365745,0.01920177038108731,0.5384241725989583,,
fixture_A,fixture_B,spatial,True,0.3382930240763774,105,9,0.19019953651126867,0.5669400137157729,0.09941455551186115,0.5384241725989583,,
fixture_A,fixture_B,spatial,True,0.3382930240763774,96,9,0.19193761083322958,0.5709187946629584,0.10439715688074423,0.49515691910531034,supported,
fixture_A,fixture_B,spatial,True,0.3382930240763774,9,7,0.16475671465963862,0.5096571997780222,0.1340380951936,0.7878787878787878,unsupported,
fixture_A,fixture_B,spatial,True,0.3382930240763774,105,9,0.19616550136395108,0.5797721771555144,0.12351780590359944,0.5429267952977561,,25_percent_history_mask
fixture_A,fixture_B,qir,False,0.0,105,9,0.17953068079209125,0.543444003060053,0.036503710145925045,0.5490382867733287,,
fixture_A,fixture_B,qir,True,0.25805187808832597,105,9,0.18922212664765267,0.5649825068016336,0.09932130745991698,0.5490382867733287,,
fixture_A,fixture_B,qir,True,0.25805187808832597,96,9,0.19081874341494368,0.5687068753170079,0.10466218659222637,0.5044676235612061,supported,
fixture_A,fixture_B,qir,True,0.25805187808832597,9,7,0.16450635458798296,0.5090523355461375,0.1319404652955107,0.7878787878787878,unsupported,
fixture_A,fixture_B,qir,True,0.25805187808832597,105,9,0.18845179861105568,0.563301568158443,0.09581581929043635,0.5494250151032867,,25_percent_history_mask
fixture_B,fixture_A,baseline,False,0.0,71,9,0.2089850031928757,0.6072841854469271,0.1258922870266805,0.5892797245178397,,
fixture_B,fixture_A,baseline,True,-0.5549317142953968,71,9,0.19180188304058787,0.5725080844063389,-0.017665118806409585,0.5892797245178397,,
fixture_B,fixture_A,baseline,True,-0.5549317142953968,71,9,0.19180188304058787,0.5725080844063389,-0.017665118806409585,0.5892797245178397,supported,
fixture_B,fixture_A,baseline,True,-0.5549317142953968,71,9,0.19180188304058787,0.5725080844063389,-0.017665118806409585,0.5892797245178397,,25_percent_history_mask
fixture_B,fixture_A,quality,False,0.0,71,9,0.19873287756379449,0.5923494106794218,-0.08308109692059552,0.610167942426349,,
fixture_B,fixture_A,quality,True,0.32798990871380557,71,9,0.19147084281075796,0.5721906052479832,-0.018878280141212248,0.610167942426349,,
fixture_B,fixture_A,quality,True,0.32798990871380557,71,9,0.19147084281075796,0.5721906052479832,-0.018878280141212248,0.610167942426349,supported,
fixture_B,fixture_A,quality,True,0.32798990871380557,71,9,0.19126607618461977,0.5716957569927167,-0.0076372350226148,0.6088551128182821,,25_percent_history_mask
fixture_B,fixture_A,spatial,False,0.0,71,9,0.1962132887602006,0.5855256090607374,-0.07091423511210465,0.5978177436825495,,
fixture_B,fixture_A,spatial,True,0.254118306790795,71,9,0.19118951839726034,0.5715333010666962,-0.020208311882078916,0.5978177436825495,,
fixture_B,fixture_A,spatial,True,0.254118306790795,71,9,0.19118951839726034,0.5715333010666962,-0.020208311882078916,0.5978177436825495,supported,
fixture_B,fixture_A,spatial,True,0.254118306790795,71,9,0.19110507741825683,0.5710301356768274,0.001166687359176518,0.5955587514142194,,25_percent_history_mask
fixture_B,fixture_A,qir,False,0.0,71,9,0.19573363065988866,0.5834804001451397,-0.06381593513575014,0.592267423969502,,
fixture_B,fixture_A,qir,True,0.22684102613129928,71,9,0.19170771578055476,0.5722861179439734,-0.017749427905054713,0.592267423969502,,
fixture_B,fixture_A,qir,True,0.22684102613129928,71,9,0.19170771578055476,0.5722861179439734,-0.017749427905054713,0.592267423969502,supported,
fixture_B,fixture_A,qir,True,0.22684102613129928,71,9,0.19174337273816047,0.5723918783937684,-0.019260614408040118,0.5942713687236658,,25_percent_history_mask
