train_site,test_site,model,n_blocks,n_bootstrap,log_loss_delta_median,log_loss_delta_ci_low,log_loss_delta_ci_high,brier_delta_median,brier_delta_ci_low,brier_delta_ci_high,auc_delta_median,auc_delta_ci_low,auc_delta_ci_high
Hellegat,Paulina,stress_time_plus_current_patch,50,499,0.0930376178189184,0.013157639735637862,0.19817540473768955,0.022435420186444233,0.0016392559012793435,0.046763330584070874,0.04319776739705772,0.0024892951505979424,0.0901824869935715
Hellegat,Paulina,stress_time_plus_origin_patch,50,499,0.08781368193762562,0.054121794692627026,0.127715853427953,0.026355490417363236,0.016869107838006662,0.03594746345766051,0.0051023552621359824,-0.01553523792533865,0.03218205203785168
Paulina,Hellegat,stress_time_plus_current_patch,25,499,0.08986265326887166,0.034013142654512205,0.13319226532231784,0.013311855486226626,-0.005223815340437387,0.028207182679873558,0.022979444748135402,-0.025387061024633412,0.06795649737120021
Paulina,Hellegat,stress_time_plus_origin_patch,25,499,0.1032295277835481,0.05111709701986774,0.13869903952398904,0.037344858837992156,0.01597696040495452,0.053899545475064,-0.035677830053196136,-0.07635941356758372,0.005365680424333805
