train_site,test_site,model,fit_converged,fit_iterations,n_grouped_rows,n_blocks,person_intervals,recoveries,interval_log_loss,interval_brier,interval_auc,expected_observed_ratio,calibration_intercept,calibration_slope,log_loss_change_vs_stress_percent,brier_change_vs_stress_percent,auc_change_vs_stress
Paulina,Hellegat,stress_time,True,18,3156,25,1220530,295430,0.599004217797242,0.20053228986794924,0.6698516096679804,1.5836196857924034,-0.8145383951878462,0.6669512247801241,0.0,0.0,0.0
Paulina,Hellegat,stress_time_plus_origin_patch,True,22,3156,25,1220530,295430,0.7021795440960029,0.23815873419809497,0.6354747051372159,1.9129821886474727,-1.0402043752122598,0.5653993644218028,17.22447409104637,18.763284633573367,-0.034376904530764474
Paulina,Hellegat,stress_time_plus_current_patch,True,38,3156,25,1220530,295430,0.6902837160168894,0.2143164873432699,0.6885691291455794,1.6920651502497905,-0.9694901885861134,0.5196005040344585,15.238540148400888,6.8738044553311495,0.01871751947759903
Hellegat,Paulina,stress_time,True,14,1976,50,944293,451727,0.8379281439634382,0.28405370641014505,0.6017408305432287,0.6195234383383552,-0.0476180343713578,0.29578307943240695,0.0,0.0,0.0
Hellegat,Paulina,stress_time_plus_origin_patch,True,19,1976,50,944293,451727,0.9261412662004376,0.3100522358285997,0.6080147767268262,0.5096206118860498,0.01345505582203601,0.2733152403391757,10.527528269876141,9.152680930315123,0.006273946183597556
Hellegat,Paulina,stress_time_plus_current_patch,True,23,1976,50,944293,451727,0.9281425667803792,0.3053901001082251,0.6474586879546014,0.46193788987784806,0.19864050552965623,0.3576854453990656,10.766367434589643,7.511394224609214,0.04571785741137269
