site,block_width_m,patch_resolution_m,raw_disturbance_events,retained_disturbance_events,raw_recoveries,retained_recoveries,raw_person_intervals,retained_person_intervals,grouped_risk_rows,retained_blocks
Hellegat,64.0,1.0,556640,556526,440955,440841,1488519,1488244,5086,34
Paulina,64.0,1.0,518729,518729,451727,451727,944293,944293,1976,50
