model,n_frames,n_storms,roc_auc_pooled,roc_auc_storm_mean,roc_auc_cluster_ci_low,roc_auc_cluster_ci_high,pr_auc,balanced_accuracy_at_0p5,brier_score
cold_area_only,85,5,0.6122222222222222,0.6222222222222221,0.485,0.7872222222222222,0.5117760219632708,0.6236111111111111,0.2593764732910144
organization_static,85,5,0.3755555555555556,0.31388888888888894,0.19166666666666665,0.5088888888888888,0.39248135812114826,0.41944444444444445,0.3925288613773108
organization_dynamic,85,5,0.4616666666666666,0.4138888888888889,0.2810138888888889,0.5834583333333326,0.4331181314144554,0.47500000000000003,0.3601582257597825
