sid,name,outcome,pair_id,endpoint_time,endpoint_type,observation_time,hours_to_endpoint,center_lat,center_lon,vorticity_850_mean_s1__300km,rh_600_850_mean_pct__300km,shear_200_850_ms__300km,vorticity_850_mean_s1__500km,rh_600_850_mean_pct__500km,shear_200_850_ms__500km
2019243N06136,LINGLING,1,4,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-30 06:00:00+00:00,-72,6.4,136.0,2.53279025152553e-05,90.98324064576424,5.473603809632758,1.6799527341423248e-05,86.85613708105552,4.028408176691976
2019243N06136,LINGLING,1,4,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-31 06:00:00+00:00,-48,7.0,132.8,4.327923634835925e-05,89.07752194726415,2.7228515821519754,2.411069426858131e-05,86.1788122342736,4.45264143129841
2019243N06136,LINGLING,1,4,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-09-01 06:00:00+00:00,-24,12.2,128.8,6.604029772706041e-05,89.71389167415248,3.069373728881713,2.9618531453235457e-05,85.32969222573453,4.260156532243155
2019243N06136,LINGLING,1,4,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-09-02 03:00:00+00:00,-3,16.1,125.4,8.476712896956342e-05,90.70142512535104,4.069730437883185,3.362371483139921e-05,85.34059045577084,3.6059570278996844
2019268N10155,MITAG,1,5,2019-09-27T12:00:00+00:00,first_US_TS_or_34kt,2019-09-24 12:00:00+00:00,-72,9.6,155.0,2.1371038785622144e-06,80.16515025224366,15.569820358859532,3.6725971753336164e-06,79.9487182986869,14.716721652003923
2019268N10155,MITAG,1,5,2019-09-27T12:00:00+00:00,first_US_TS_or_34kt,2019-09-25 12:00:00+00:00,-48,10.7,151.0,2.247597388009438e-05,85.55199871004204,8.296772527030724,1.1682190706835844e-05,81.64100957880662,9.161061445076166
2019268N10155,MITAG,1,5,2019-09-27T12:00:00+00:00,first_US_TS_or_34kt,2019-09-26 12:00:00+00:00,-24,12.3,143.2,4.65027873226936e-05,83.4072191869318,8.888212791790059,2.3716079260840307e-05,77.69721463860633,9.030171225662304
2019268N10155,MITAG,1,5,2019-09-27T12:00:00+00:00,first_US_TS_or_34kt,2019-09-27 09:00:00+00:00,-3,14.0,136.6,6.647513775940924e-05,85.6713668079697,8.00204132601702,3.239706979702864e-05,76.3882331068662,8.798109292019989
2020293N23139,UNNAMED,0,5,2020-10-22T06:00:00+00:00,72h_after_first_track,2020-10-19 06:00:00+00:00,-72,22.6,139.4,3.461349046794695e-05,84.93690710161599,12.85315679555504,8.991945956709341e-07,80.34848891383011,14.74939125438682
2020293N23139,UNNAMED,0,5,2020-10-22T06:00:00+00:00,72h_after_first_track,2020-10-20 06:00:00+00:00,-48,24.9,139.0,4.091892251559698e-05,87.8345157284662,16.795201276919858,1.3364975237524898e-05,78.00102848966667,17.761822711692368
2020293N23139,UNNAMED,0,5,2020-10-22T06:00:00+00:00,72h_after_first_track,2020-10-21 06:00:00+00:00,-24,24.6,139.7,3.675914612219496e-05,70.01680350280746,19.194388096937157,1.4172861075073023e-05,62.35533610205895,19.441392950838345
2020293N23139,UNNAMED,0,5,2020-10-22T06:00:00+00:00,72h_after_first_track,2020-10-22 03:00:00+00:00,-3,25.6,139.3,3.621165278235736e-05,61.051708270355654,23.818207513392174,7.680915864260732e-06,59.275519744922384,21.040609032117032
2021185N13121,UNNAMED,0,1,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-03 18:00:00+00:00,-72,13.0,121.2,5.088058454021975e-05,89.94053735565326,9.773749615495962,2.1950376566922913e-05,85.85946732434418,11.208122329784375
2021185N13121,UNNAMED,0,1,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-04 18:00:00+00:00,-48,14.9,116.3,5.743496327327923e-05,82.79365752705786,1.8002020467647968,2.8019963562512102e-05,78.90072680147466,6.038589026499155
2021185N13121,UNNAMED,0,1,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-05 18:00:00+00:00,-24,15.3,112.5,6.899625103206781e-05,86.03890633137088,1.8440968695879774,3.3686596751541115e-05,79.14122658140066,4.993226800317892
2021185N13121,UNNAMED,0,1,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-06 15:00:00+00:00,-3,17.2,111.5,7.879803843004195e-05,82.15095115914674,17.668416748788978,3.298272121827496e-05,81.32020319918904,16.583519018228067
2022208N15143,SONGDA,0,2,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-26 12:00:00+00:00,-72,14.9,143.3,4.090155632823187e-05,84.93356874348258,11.57624562085016,2.1787160971515485e-05,83.00466874535151,11.10005494797237
2022208N15143,SONGDA,0,2,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-27 12:00:00+00:00,-48,17.5,141.0,6.345126771139235e-05,86.9970746051564,8.96092125053816,3.173897338849651e-05,82.2322116525855,8.29179204984982
2022208N15143,SONGDA,0,2,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-28 12:00:00+00:00,-24,22.5,139.1,3.78690735434536e-05,84.32594231607567,6.053835780596151,1.8173964033267043e-05,85.13381578734534,6.764538698897062
2022208N15143,SONGDA,0,2,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-29 09:00:00+00:00,-3,29.6,130.9,5.4861426815293526e-05,84.53033317462258,1.4306540803391543,2.145238687142936e-05,80.41221660598565,2.9594939203566226
