model,BAILU,DANAS,LINGLING,MITAG,PODUL
cold_area_only,1.0,0.3888888888888889,0.5416666666666666,0.638888888888889,0.5416666666666666
organization_dynamic,0.13888888888888895,0.2638888888888889,0.48611111111111116,0.4861111111111111,0.6944444444444444
organization_static,0.08333333333333333,0.09722222222222224,0.375,0.375,0.638888888888889
