site,fine_scale_m,coarse_scale_m,n_fine_blocks,spearman_rho,p_value
Hellegat,32.0,64.0,112,0.6728399275117742,4.462545557830055e-16
Hellegat,32.0,128.0,112,0.2844262406580196,0.002370894475402869
Hellegat,64.0,128.0,34,0.433593666333248,0.010413262050169245
Paulina,32.0,64.0,136,0.7182000312692942,7.488004326802001e-23
Paulina,32.0,128.0,136,0.5829644861625274,9.59618332107146e-14
Paulina,64.0,128.0,46,0.7560006936771709,1.2430658832712644e-09
