site,n_bins,slope_per_percent,intercept,r_squared,p_value,max_relative_replication_error,events_in_analysis_gradient,recoveries_in_analysis_gradient
Hellegat,35,-3.580538970478238e-05,0.0016756869962438357,0.8277503556380684,3.754128918940609e-14,3.33568038800179e-05,556640,440955
Paulina,12,-2.335926645158417e-05,0.0012017115061601028,0.5949723806223649,0.003304190835356976,1.1612675861407608e-05,518729,451727
