block_width_m,train_site,test_site,model,alpha,n_units,n_blocks,exposure_years,poisson_deviance,weighted_log_rmse,spearman_rho,spearman_p,deviance_change_vs_stress_percent,log_rmse_change_vs_stress_percent
32.0,Paulina,Hellegat,stress_only,0.1,411,112,4459786.0,0.07618631769130112,1.300692021103547,0.6473804924053407,3.4809890705879776e-50,0.0,0.0
32.0,Paulina,Hellegat,stress_plus_static_patch,0.1,411,112,4459786.0,0.07490027671128749,1.2910250265475312,0.6642066692794011,1.2325460574206977e-53,-1.6880209189588737,-0.7432193324146145
32.0,Paulina,Hellegat,stress_plus_all_patch,0.1,411,112,4459786.0,0.06720159780433711,1.24254524499814,0.6705934563546672,5.264814806226709e-55,-11.79308852196944,-4.470449204114712
32.0,Hellegat,Paulina,stress_only,0.1,274,136,3431794.0,0.029671547487984454,0.48252259429443195,0.2626040425009934,1.0600689396444442e-05,0.0,0.0
32.0,Hellegat,Paulina,stress_plus_static_patch,0.1,274,136,3431794.0,0.045560415915384664,0.6174405263629806,0.2951644748358341,6.532108948897827e-07,53.54917344245168,27.960956370516133
32.0,Hellegat,Paulina,stress_plus_all_patch,0.1,274,136,3431794.0,0.028284264273547115,0.4915909093806553,0.3499276775822668,2.5977169257906145e-09,-4.675466336897736,1.879355535564814
64.0,Paulina,Hellegat,stress_only,0.1,248,34,4519364.0,0.06999053601543392,1.181313812086814,0.6609468406563458,1.6230410016972387e-32,0.0,0.0
64.0,Paulina,Hellegat,stress_plus_static_patch,0.1,248,34,4519364.0,0.06997379662339157,1.179396942366269,0.6587540360795116,3.058744121328984e-32,-0.023916650729274826,-0.16226591960005773
64.0,Paulina,Hellegat,stress_plus_all_patch,0.1,248,34,4519364.0,0.0624658844177192,1.1307622176462764,0.6756723585986489,1.99766249238564e-34,-10.750955809304605,-4.279268888868514
64.0,Hellegat,Paulina,stress_only,0.1,142,46,3441236.0,0.027036632504756224,0.45188296710477044,0.35462467940037773,1.4906187150679385e-05,0.0,0.0
64.0,Hellegat,Paulina,stress_plus_static_patch,0.1,142,46,3441236.0,0.0415717842145018,0.5872743192543765,0.3833332809435654,2.4928199731573635e-06,53.76095453895222,29.961596697716452
64.0,Hellegat,Paulina,stress_plus_all_patch,0.1,142,46,3441236.0,0.030188931291815504,0.5103709807835166,0.35703141617465883,1.2914549201955791e-05,11.659361743755383,12.943177312807533
128.0,Paulina,Hellegat,stress_only,0.1,137,10,4541974.0,0.06268249286911237,1.0009148996695483,0.710846143882682,2.234028588163166e-22,0.0,0.0
128.0,Paulina,Hellegat,stress_plus_static_patch,0.1,137,10,4541974.0,0.06200860370653492,1.0042638253919782,0.6636719606917943,9.742120066435056e-19,-1.0750835388512703,0.3345864592020359
128.0,Paulina,Hellegat,stress_plus_all_patch,0.1,137,10,4541974.0,0.06489815679892996,1.021811889328782,0.6601063159587821,1.7265277646564584e-18,3.534741246561667,2.0877888485957032
128.0,Hellegat,Paulina,stress_only,0.1,73,15,3456375.0,0.025203388379216218,0.4549761916103653,0.3727721674537936,0.0011625521990101515,0.0,0.0
128.0,Hellegat,Paulina,stress_plus_static_patch,0.1,73,15,3456375.0,0.028889244057064785,0.49509614099695903,0.44782796495125266,7.105376145745752e-05,14.62444502457487,8.818032707292046
128.0,Hellegat,Paulina,stress_plus_all_patch,0.1,73,15,3456375.0,0.019331698563224323,0.39884300145161805,0.39645810193755404,0.0005159629117990138,-23.297223879761894,-12.33761044947575
